"species","Spnvisits","P90","prop_abs","Taxa","Taxa_Root"
"ANDRENA tibialis",240,12.2,0.996307351447826,"Bees","Bees"
"ANDRENA trimmerana",553,27.7,0.991491522294366,"Bees","Bees"
"ANDRENA varians",117,5.3,0.998199833830815,"Bees","Bees"
"ANDRENA wilkella",1033,41.4,0.984106225190018,"Bees","Bees"
"ANDRENA nigrospina",56,5.2,0.999138382004493,"Bees","Bees"
"PANURGUS calcaratus",530,33,0.991845401113949,"Bees","Bees"
"PANURGUS banksianus",359,16,0.994476413207373,"Bees","Bees"
"LASIOGLOSSUM brevicorne",126,11,0.998061359510109,"Bees","Bees"
"LASIOGLOSSUM cupromicans",306,16.4,0.995291873095978,"Bees","Bees"
"LASIOGLOSSUM fratellum",690,24.6,0.9893836354125,"Bees","Bees"
"LASIOGLOSSUM fulvicorne",1434,60,0.97793642490076,"Bees","Bees"
"LASIOGLOSSUM laevigatum",437,21,0.993276302427916,"Bees","Bees"
"LASIOGLOSSUM lativentre",658,35.9,0.989875988552789,"Bees","Bees"
"LASIOGLOSSUM leucopus",1365,53.5,0.97899806135951,"Bees","Bees"
"LASIOGLOSSUM malachurum",1665,94.1,0.974382250669293,"Bees","Bees"
"LASIOGLOSSUM minutissimum",962,38,0.985198633720036,"Bees","Bees"
"LASIOGLOSSUM nitidiusculum",177,8,0.997276671692772,"Bees","Bees"
"LASIOGLOSSUM pauperatum",61,4.6,0.999061451826322,"Bees","Bees"
"LASIOGLOSSUM pauxillum",1059,72,0.983706188263532,"Bees","Bees"
"LASIOGLOSSUM punctatissimum",958,37.4,0.985260177862572,"Bees","Bees"
"LASIOGLOSSUM puncticolle",288,18.2,0.995568821737391,"Bees","Bees"
"LASIOGLOSSUM rufitarse",414,21,0.9936301812475,"Bees","Bees"
"LASIOGLOSSUM smeathmanellum",1164,46.8,0.982090654521956,"Bees","Bees"
"LASIOGLOSSUM villosulum",2348,94.8,0.963873588331231,"Bees","Bees"
"LASIOGLOSSUM xanthopus",220,14,0.996615072160507,"Bees","Bees"
"LASIOGLOSSUM zonulum",795,36,0.987768101670923,"Bees","Bees"
"SPHECODES crassus",579,36,0.99109148536788,"Bees","Bees"
"SPHECODES ephippius",1801,98,0.972289749823061,"Bees","Bees"
"SPHECODES geoffrellus",1492,61.5,0.977044034833985,"Bees","Bees"
"SPHECODES ferruginatus",80,5.4,0.998769117149275,"Bees","Bees"
"SPHECODES gibbus",643,30,0.9901067790873,"Bees","Bees"
"SPHECODES hyalinatus",439,18,0.993245530356648,"Bees","Bees"
"SPHECODES longulus",162,7.60000000000001,0.997507462227282,"Bees","Bees"
"SPHECODES monilicornis",1511,68.2,0.976751700156938,"Bees","Bees"
"SPHECODES niger",301,21,0.995368803274148,"Bees","Bees"
"SPHECODES puncticeps",729,35,0.988783580022771,"Bees","Bees"
"SPHECODES reticulatus",323,20.8,0.995030310490199,"Bees","Bees"
"SPHECODES rubicundus",153,10,0.997645936547989,"Bees","Bees"
"SPHECODES spinulosus",42,6,0.99935378650337,"Bees","Bees"
"MELITTA haemorrhoidalis",255,16,0.996076560913315,"Bees","Bees"
"MELITTA leporina",452,18.8,0.993045511893406,"Bees","Bees"
"MELITTA tricincta",414,20,0.9936301812475,"Bees","Bees"
"DASYPODA hirtipes",543,24,0.991645382650706,"Bees","Bees"
"MACROPIS europaea",245,14,0.996230421269656,"Bees","Bees"
"STELIS ornatula",62,4,0.999046065790688,"Bees","Bees"
"STELIS punctulatissima",104,6.9,0.998399852294058,"Bees","Bees"
"CHELOSTOMA campanularum",529,25,0.991860787149583,"Bees","Bees"
"CHELOSTOMA florisomne",374,20,0.994245622672862,"Bees","Bees"
"OSMIA aurulenta",476,21.5,0.992676247038188,"Bees","Bees"
"OSMIA bicolor",734,41,0.988706649844601,"Bees","Bees"
"OSMIA caerulescens",985,41.8,0.984844754900452,"Bees","Bees"
"OSMIA leaiana",727,32.2,0.988814352094039,"Bees","Bees"
"HOPLITIS claviventris",420,19.6,0.993537865033695,"Bees","Bees"
"MEGACHILE centuncularis",783,34.8,0.987952734098532,"Bees","Bees"
"MEGACHILE leachella",462,19.7,0.992891651537065,"Bees","Bees"
"MEGACHILE ligniseca",682,34.6,0.989506723697572,"Bees","Bees"
"MEGACHILE maritima",420,20.4,0.993537865033695,"Bees","Bees"
"MEGACHILE versicolor",940,43,0.985537126503985,"Bees","Bees"
"MEGACHILE willughbiella",1349,70.2,0.979244237929655,"Bees","Bees"
"COELIOXYS elongata",217,10.7,0.996661230267409,"Bees","Bees"
"COELIOXYS inermis",126,5,0.998061359510109,"Bees","Bees"
"COELIOXYS mandibularis",65,4.3,0.998999907683786,"Bees","Bees"
"COELIOXYS rufescens",186,10,0.997138197372065,"Bees","Bees"
"COELIOXYS conoidea",271,13.2,0.99583038434317,"Bees","Bees"
"NOMADA baccata",235,17,0.996384281625996,"Bees","Bees"
"NOMADA conjungens",16,1.9,0.999753823429855,"Bees","Bees"
"NOMADA fabriciana",1709,76.5,0.973705265101394,"Bees","Bees"
"NOMADA flava",1985,95.5,0.969458719266394,"Bees","Bees"
